Year,Player,Age,Pos,All NBA Total Career,PER
2019,Luka Doncic,20,SF,0,19.61
2016,Karl-Anthony Towns,20,C,1,22.5
2017,Karl-Anthony Towns,21,C,1,26
2018,Karl-Anthony Towns,22,C,1,24.9
2019,Karl-Anthony Towns,23,C,1,26.3
2012,Kyrie Irving,19,PG,2,21.4
2013,Kyrie Irving,20,PG,2,21.4
2014,Kyrie Irving,21,PG,2,20.1
2015,Kyrie Irving,22,PG,2,21.5
2016,Kyrie Irving,23,PG,2,19.9
2017,Kyrie Irving,24,PG,2,23
2018,Kyrie Irving,25,PG,2,25
2019,Kyrie Irving,27,PG,2,24.3
2010,Stephen Curry,21,PG,6,16.3
2011,Stephen Curry,22,PG,6,19.4
2012,Stephen Curry,23,PG,6,21.2
2013,Stephen Curry,24,PG,6,21.3
2014,Stephen Curry,25,PG,6,24.1
2015,Stephen Curry,26,PG,6,28
2016,Stephen Curry,27,PG,6,31.5
2017,Stephen Curry,28,PG,6,24.6
2018,Stephen Curry,29,PG,6,28.32
2019,Stephen Curry,30,PG,6,24.45
